,image_link,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,Origin,Size,Appearance,Temperament,Health,Lifespan,Breed group,Coat,Exercise needs,Training needs,Grooming,Breed Group,Training,Health concerns,Activity level,Grooming needs,Exercise Needs,The heartwarming family films “Homeward Bound,Weight,Color,Petey from “The Little Rascals,Energy level,Exercise,Suitability as a pet,"The Berger Picard has made its mark in the world of cinema, featuring in films like “Because of Winn Dixie,” “Homeward Bound II",Active,Energetic,Playful,Intelligent,Easy to train,Good with children,Wary of strangers,Hunting instincts,Country of origin,Original purpose,Height,Exercise requirements,Health problems,Colors,Trainability,Needs,They come in two coat varieties,Hybrid breed,Purpose,Other Dalmatian Names in History,“Bombón,"Published in 1933, Flush",There are five distinct varieties of the German Spitz,"Both parent breeds, the Siberian Husky and Golden Retriever, have made many appearances in movies over the years, including “Iron Will”, “Air Bud“, “Homeward Bound",Health Considerations,History,Digging Instinct,Suitability,Health issues,Popularity,The heartwarming film “Homeward Bound II,English Mastiff,Neapolitan Mastiff,Bullmastiff,Personality,Breed type,Parent breeds,Good with other pets,Orgin,Nicknames,Movie roles,TV mentions,Shiba Inu Lifespan,Pop Culture,Uses,"Currently, the AKC officially acknowledges the Yakutian Laika, whereas the Fédération Cynologique Internationale (FCI) recognizes three distinct Laika breeds"
Coton de Tulear,https://api-ninjas.com/images/dogs/coton_de_tulear.jpg,5.0,5.0,2.0,4.0,1.0,1.0,5.0,4.0,3.0,4.0,3.0,1.0,15.0,19.0,11.0,11.0,15.0,13.0,10.0,10.0,9.0,8.0,Madagascar,Small,,"Affectionate, playful, and intelligent",,14-17 years,Non-Sporting,"Medium-length, soft, and cottony white coat",Moderate,Easy to train,,,,"Skin allergies, ear infections, and hip dysplasia",,,,,8-13 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatian Sheepdog,https://api-ninjas.com/images/dogs/croatian_sheepdog.jpg,3.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,5.0,3.0,3.0,3.0,13.0,14.0,20.0,20.0,44.0,44.0,16.0,16.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curly-Coated Retriever,https://api-ninjas.com/images/dogs/curly-coated_retriever.jpg,5.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,10.0,12.0,27.0,27.0,95.0,95.0,25.0,25.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czechoslovakian Vlcak,,,,,,,,,,,,,,,,,,,,,,,,Czechoslovakia,"24 to 26 inches tall at the shoulder, 60 to 80 pounds",,"Intelligent, loyal, and active",Prone to hip dysplasia and elbow dysplasia,12 to 14 years,Working dog,"Thick, double coat, usually gray or black",High,,Regular brushing and occasional bathing,,Requires early socialization and training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dachshund,https://api-ninjas.com/images/dogs/dachshund.jpg,3.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,12.0,16.0,9.0,9.0,32.0,32.0,8.0,8.0,16.0,16.0,Germany,"Small to medium-sized, with three main coat types: Standard (16-32 pounds or 7-15 kg), Miniature (11 pounds or 5 kg and under), and Kaninchen (“rabbit” in German, typically around 8 pounds or 3.5 kg and under).",,"Dachshunds are known for their lively and curious nature. They can be quite clever, but sometimes stubborn. They are often brave and confident despite their small size.","Dachshunds are prone to certain health issues, including back problems due to their elongated body. This makes proper weight management, avoiding jumping from heights, and using harnesses instead of collars important for their spine health. Regular check-ups with a veterinarian are crucial.",About 12-16 years,,"Dachshunds come in three coat types: smooth (short-haired), long-haired, and wirehaired. They also come in a variety of colors and patterns.",,,"Grooming needs depend on the coat type. Smooth-coated Dachshunds have minimal grooming needs, while long-haired and wirehaired Dachshunds require more attention to prevent matting.",,"Dachshunds can be independent thinkers, but with positive reinforcement training, they can learn well. Early socialization and consistent training are key.",,,,They have moderate exercise requirements. Regular walks and playtime are important to prevent obesity and keep them mentally stimulated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dalmatian,https://api-ninjas.com/images/dogs/dalmatian.jpg,3.0,3.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,11.0,13.0,24.0,24.0,70.0,70.0,19.0,19.0,45.0,45.0,Croatia (Dalmatia region),Large,,"Energetic, playful, loyal","Generally healthy. There are some breed-specific concerns, however. They have a unique metabolism that makes them prone to forming urinary stones, so a proper diet and regular access to fresh water are important.",10 to 13 years,,"Short and dense, distinctive black or liver spots on white",,,"Moderate shedding, regular brushing and occasional baths needed",Non-Sporting/Utility,"Dalmatians are intelligent dogs, but that being said, they can also be quite independent and stubborn. Positive reinforcement training methods work best, using treats, praise, and rewards to motivate them. Early and consistent training is important to establish good behavior patterns.",,,,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,"English Coach Dog, Carriage Dog, Plum Pudding Dog, Spotted Dick",,,,,,,,,,,,,,,,,,,,,,,,,,
Dandie Dinmont Terrier,https://api-ninjas.com/images/dogs/dandie_dinmont_terrier.jpg,3.0,3.0,2.0,3.0,1.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,12.0,15.0,11.0,11.0,24.0,24.0,8.0,8.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danish-Swedish Farmdog,https://api-ninjas.com/images/dogs/danish-swedish_farmdog.jpg,5.0,5.0,2.0,1.0,1.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,11.0,13.0,14.5,14.5,20.0,20.0,12.5,12.5,15.0,15.0,Denmark and Sweden,"Medium-sized, males 18-21 inches tall, females 17-20 inches tall, weight 35-55 pounds",,"Friendly, gentle, intelligent, loyal, active","Some health problems that can be seen in the Danish-Swedish Farmdog include hip dysplasia, elbow dysplasia, progressive retinal atrophy, and cataracts",12-15 years,Herding dogs,"Thick, double coat with a soft, dense undercoat, can be straight or wavy","High, at least 2 hours of exercise per day",,"Weekly brushing, more often during shedding season",,"Easy to train, but can be stubborn at times",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doberman Pinscher,https://api-ninjas.com/images/dogs/doberman_pinscher.jpg,5.0,3.0,4.0,1.0,2.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,10.0,12.0,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,Germany.,60 to 100 pounds (27 to 45 kilograms).,,"Intelligent, loyal, and alert. Known for their protective nature and strong bond with their families.",Prone to certain genetic health issues like hip dysplasia and heart conditions. Regular veterinary check-ups are important.,10 to 13 years.,,"Short, smooth coat that can come in black, red, blue, or fawn with rust markings.",,,Low maintenance due to their short coat; regular brushing is sufficient.,Working Group,Highly trainable and eager to please. Consistent and positive training methods work well.,,,,High; they are active dogs that require regular exercise and mental stimulation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Docker,,,,,,,,,,,,,,,,,,,,,,,,"The Docker is a mixed breed dog, resulting from the cross between the Dachshund and Cocker Spaniel breeds.",Docker dogs range from small to medium in size.,"The main colors of Dockers are red, black, brown, or tan. They are usually a solid color but can have a second color mixed in.","Dockers are friendly, sweet-natured, and enjoy spending time with their families.","As with all mixed breed dogs, Dockers can inherit health issues from their parent breeds, such as hip dysplasia, elbow dysplasia, and eye problems.",Their lifespan typically ranges from around 12 to 15 years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dogo Argentino,https://api-ninjas.com/images/dogs/dogo_argentino.jpg,3.0,3.0,4.0,1.0,3.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,9.0,15.0,27.0,27.0,100.0,100.0,24.0,24.0,80.0,80.0,Argentina,"Male: 24-27 inches (61-69 cm) tall at the shoulder, 88-100 pounds (40-45 kg); Female: 22-25 inches (56-64 cm) tall at the shoulder, 75-90 pounds (34-41 kg)",,"Loyal, protective, courageous, and intelligent","Some health problems that are common in the breed include hip dysplasia, elbow dysplasia, and eye problems.",10-12 years,Working,"Short, smooth coat that is completely white",High,,,,Requires early and consistent training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Perro” is a movie that follows the journey of a man and his Dogo Argentino dog, named Bombón, in Patagonia. The story unfolds as a man’s fortunes take a turn for the better when he receives the dog as a gift for assisting a stranded woman on the highway.",,,,,,,,,,,,,,,,,,,,,,,,,
Dogue de Bordeaux,https://api-ninjas.com/images/dogs/dogue_de_bordeaux.jpg,3.0,3.0,4.0,1.0,5.0,1.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,8.0,23.27,23.27,140.0,140.0,23.27,23.27,120.0,120.0,France (Bordeaux region),"Large and powerful, typically weighing around 99-110 pounds (45-50 kg) for females and 110-145 pounds (50-66 kg) for males.",,"Dogue de Bordeaux, also known as Bordeaux Mastiffs, are loyal, protective, and affectionate with their families. They are calm and gentle, but reserved around strangers.","Dogue de Bordeaux can be prone to certain health issues, including hip and elbow dysplasia, heart problems, and joint-related concerns. Responsible breeding practices and regular veterinary care are important for their well-being.",About 6-10 years,,"Short, dense coat with loose skin. Colors include various shades of fawn, ranging from light to dark.",,,"Their short coat is relatively low-maintenance. Regular brushing keeps their coat healthy, and skin folds should be cleaned to prevent infections.",,"Early socialization and consistent, positive reinforcement training are important due to their protective nature. They are strong-willed, but are generally eager to please.",,,,"They have moderate exercise requirements. Regular walks, playtime, and mental stimulation are important to keep them content.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drever,https://api-ninjas.com/images/dogs/drever.jpg,5.0,5.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0,15.0,15.0,15.0,15.0,40.0,40.0,12.0,12.0,35.0,35.0,The Drever dog originated in Sweden in the early 20th century and was initially bred for hunting purposes.,Drevers are a small to medium-sized breed.,"Drevers have a sturdy, compact build with a short, dense coat that comes in various colors, including red, black, and tan. They have a distinctive long body and floppy ears.",Drevers are known for their friendly and sociable nature. They are highly energetic and have a strong hunting instinct. They are generally good with children and other pets but may require socialization to prevent excessive barking.,"Drevers are a relatively healthy breed, but like all dogs, they can be prone to certain conditions, including hip dysplasia and ear infections due to their floppy ears. Regular check-ups and a clean ear regimen are important for their well-being.",The average lifespan of a Drever dog is around 12 to 15 years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dutch Shepherd,https://api-ninjas.com/images/dogs/dutch_shepherd.jpg,3.0,3.0,3.0,2.0,2.0,1.0,3.0,4.0,5.0,5.0,5.0,2.0,11.0,14.0,24.5,24.5,75.0,75.0,21.5,21.5,42.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Cocker Spaniel,https://api-ninjas.com/images/dogs/english_cocker_spaniel.jpg,5.0,5.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,12.0,14.0,17.0,17.0,34.0,32.0,16.0,16.0,28.0,26.0,England,,,"Friendly, outgoing, playful, affectionate",,12-14 years,,,,,,,"Relatively easy to train, but can be stubborn at times",,,Moderate,,,"26-34 pounds (male), 24-32 pounds (female)",,,,,,,,,,,,,,,,,"15-17 inches (male), 14-16 inches (female)",High,"Hip dysplasia, elbow dysplasia, eye problems",,,,,,Hunting,,,"A Biography by Virginia Woolf is an imaginative blend of fiction and nonfiction. This cross-genre work portrays poet Elizabeth Barrett Browning’s English Cocker Spaniel, Flush, in a unique biography.",,,,,,,,,,,,,,,,,,,,,,,,
English Foxhound,https://api-ninjas.com/images/dogs/english_foxhound.jpg,5.0,5.0,3.0,1.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,5.0,10.0,13.0,24.0,24.0,75.0,75.0,24.0,24.0,60.0,60.0,England,"Large, 23-25 inches tall at the shoulder, 65-70 pounds",,"Gentle, friendly, and affectionate.","Generally healthy, but can be prone to some health problems, such as hip dysplasia, elbow dysplasia, and eye problems.",10-13 years,Hound,"Short, dense, and smooth.","High, need at least 2 hours of exercise per day.",,,,"Easy to train, but need early socialization.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Setter,https://api-ninjas.com/images/dogs/english_setter.jpg,4.0,4.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,3.0,12.0,12.0,27.0,27.0,80.0,55.0,25.0,25.0,65.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Springer Spaniel,https://api-ninjas.com/images/dogs/english_springer_spaniel.jpg,3.0,4.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,5.0,4.0,3.0,12.0,14.0,20.0,20.0,50.0,40.0,20.0,20.0,50.0,40.0,England,"18-20 inches, female: 17-19 inches; weight: 45-55 pounds, female: 40-45 pounds",,"Friendly, outgoing, and playful","Some common health problems include hip dysplasia, elbow dysplasia, and eye problem",10-12 years,Sporting,"Long, wavy, or curly; can be any color",30-60 minutes of exercise per day,,Weekly brushing and occasional baths,,Easy to train with positive reinforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English Toy Spaniel,,,,,,,,,,,,,,,,,,,,,,,,England,,,"Gentle, affectionate, playful","Prone to some health problems, such as eye problems, heart problems, and syringomyelia",10-12 years,,"Long, silky",,,,,,,,,,,8-14 pounds,,,Moderately active,,,,,,,,,,,,,,10-12 inches,,,"Black and tan, Blenheim (red and white), Prince Charles (black, white, and tan), Ruby (solid red)","Can be stubborn, but trainable with patience and consistency",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entlebucher Mountain Dog,https://api-ninjas.com/images/dogs/entlebucher_mountain_dog.jpg,3.0,5.0,3.0,1.0,2.0,1.0,3.0,3.0,5.0,3.0,5.0,3.0,11.0,13.0,21.0,21.0,65.0,55.0,17.0,17.0,50.0,40.0,Switzerland,Medium,,"Intelligent, loyal, and energetic",,11-15 years,Herding,"Medium-length, tricolored coat (black, white, and tan)",High,Early and consistent training is recommended,,,,"Some common health concerns include hip dysplasia, elbow dysplasia, and eye problems",,,,,35-55 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estrela Mountain Dog,https://api-ninjas.com/images/dogs/estrela_mountain_dog.jpg,5.0,3.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0,4.0,3.0,3.0,10.0,14.0,29.0,29.0,132.0,132.0,24.5,24.5,77.0,77.0,Portugal,"Large, male: 24-28 inches, female: 22-26 inches; weight: 90-130 pounds, female: 70-110 pounds",,"Independent, loyal, and protective","Some common health problems include hip dysplasia, elbow dysplasia, and eye problems",10-13 years,Working,"Thick, double coat; can be fawn, brindle, or wolf grey",30-60 minutes of exercise per day,,Weekly brushing,,Early and consistent training is essential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurasier,https://api-ninjas.com/images/dogs/eurasier.jpg,4.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,12.0,16.0,24.0,24.0,70.0,70.0,19.0,19.0,40.0,40.0,Germany,"Male: 23-27 inches (58-69 cm) at the shoulder, Female: 20-24 inches (51-61 cm) at the shoulder",,"Friendly, playful, intelligent, independent","Some health problems that are common in the Eurasier include hip dysplasia, elbow dysplasia, and eye problems.",12-15 years,Non-sporting,"Double coat: long, thick outer coat and soft, dense undercoat",30-60 minutes of exercise per day,,Weekly brushing and occasional baths,,Easy to train with positive reinforcement,,,,,,"Male: 55-75 pounds (25-34 kg), Female: 45-60 pounds (20-27 kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field Spaniel,https://api-ninjas.com/images/dogs/field_spaniel.jpg,5.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,12.0,13.0,18.0,18.0,50.0,50.0,18.0,18.0,35.0,35.0,England,"Medium, male: 18-21 inches, female: 17-20 inches; weight: 40-55 pounds",,"Friendly, gentle, and affectionate","Some common health problems include hip dysplasia, elbow dysplasia, and eye problems",10-12 years,Sporting,"Long, wavy or curly; can be black, liver, or brown",30-60 minutes of exercise per day,,Weekly brushing and occasional baths,,Easy to train with positive reinforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fila Brasileiro,,,,,,,,,,,,,,,,,,,,,,,,Brazil,"Male: 25-27 inches (64-69 cm) tall at the shoulder, 100-150 pounds (45-68 kg); Female: 23-25 inches (59-64 cm) tall at the shoulder, 80-120 pounds (36-54 kg)",,"Independent, loyal, protective, and territorial","Some health problems that are common in the breed include hip dysplasia, elbow dysplasia, and eye problems.",10-12 years,Working,"Short, smooth coat that is fawn, black, brindle, or white in color",High,,,,Requires early and consistent training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnish Lapphund,https://api-ninjas.com/images/dogs/finnish_lapphund.jpg,4.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,4.0,3.0,5.0,12.0,15.0,21.0,21.0,53.0,53.0,18.0,18.0,33.0,33.0,Finland,"Medium-sized, males 18-21 inches tall, females 16-19 inches tall, weight 35-55 pounds",,"The Finnish Lapphund is friendly, playful, intelligent, independent, loyal","Some health problems that can be seen in Finnish Lapphunds include hip dysplasia, elbow dysplasia, progressive retinal atrophy, and cataracts",12-14 years,Herding dogs,"Thick, double coat with a soft, dense undercoat, can be straight or wavy","High, at least 2 hours of exercise per day",,"Weekly brushing, more often during shedding season",,"Moderately easy to train, but can be stubborn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finnish Spitz,https://api-ninjas.com/images/dogs/finnish_spitz.jpg,5.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,13.0,15.0,20.0,20.0,33.0,28.0,17.5,17.5,25.0,20.0,Finland,"Medium-sized, 15-20 inches tall",,"Alert, friendly, playful, loyal, intelligent",,12-15 years,Spitz,"Thick, double coat that comes in red, white, or black",High,,Needs to be brushed regularly,,Relatively easy to train,,,,,,,,,,,,,,,,,,,,,,,,,"Hip dysplasia, elbow dysplasia, eye problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flat-Coated Retriever,https://api-ninjas.com/images/dogs/flat-coated_retriever.jpg,5.0,5.0,3.0,2.0,2.0,1.0,5.0,5.0,3.0,5.0,5.0,3.0,8.0,10.0,24.5,24.5,70.0,70.0,23.0,23.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox Terrier,,,,,,,,,,,,,,,,,,,,,,,,"Fox Terriers originated in England in the 18th century. They were originally bred to flush foxes out of their hiding places during fox hunts. They were also bred to be mostly white, to separate them easily from foxes.","Fox Terriers are medium-sized dogs, typically standing 13 to 15 inches tall and weighing 16 to 18 pounds.",,"Fox Terriers are intelligent, active, and playful dogs. They are also known for being stubborn and independent.","Fox Terriers are generally healthy dogs, but they are prone to some health conditions, such as allergies, ear infections, and hip dysplasia.",Fox Terriers typically live for 12 to 15 years.,,"Fox Terriers come in two varieties: smooth and wirehaired. Smooth Fox Terriers have short, smooth coats that are easy to care for. Wirehaired Fox Terriers have wiry coats that require regular grooming.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Bulldog,https://api-ninjas.com/images/dogs/french_bulldog.jpg,5.0,4.0,3.0,1.0,3.0,1.0,5.0,5.0,3.0,4.0,3.0,1.0,10.0,12.0,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,France,"Small, typically weighing around 16-28 pounds (7-13 kg)",,"French Bulldogs are known for their affectionate and easygoing nature. They are friendly, social, and often get along well with other pets and children.","French Bulldogs are prone to certain health issues due to their brachycephalic (flat-faced) structure. Breathing difficulties, dental problems, and overheating in hot weather are common concerns. Regular veterinary care is essential.",About 10-12 years,,"Short and smooth coat, available in various colors such as brindle, fawn, white, and more.",,,Their short coat requires minimal grooming. Regular brushing can help keep their coat in good condition.,,"French Bulldogs can be somewhat stubborn, so training should be consistent and positive. They respond well to reward-based training methods.",,,,They have relatively low exercise requirements. Short walks and playtime are usually sufficient to keep them happy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
